Date,Price,Open,High,Low,Vol.,Change %
"Jul 14, 2020","5,941.10","5,977.50","5,977.50","5,918.80",652.63M,-0.61%
"Jul 13, 2020","5,977.50","5,998.40","6,007.40","5,919.20",662.16M,0.98%
"Jul 10, 2020","5,919.20","5,955.50","5,956.20","5,899.50",565.37M,-0.61%
"Jul 09, 2020","5,955.50","5,920.30","5,998.80","5,920.30",680.98M,0.59%
"Jul 08, 2020","5,920.30","6,012.90","6,018.40","5,920.30",774.15M,-1.54%
"Jul 07, 2020","6,012.90","6,014.60","6,077.30","6,004.20",763.83M,-0.03%
"Jul 06, 2020","6,014.60","6,057.90","6,078.30","6,014.60",568.10M,-0.71%
"Jul 03, 2020","6,057.90","6,032.70","6,101.40","6,021.70",645.93M,0.42%
"Jul 02, 2020","6,032.70","5,934.40","6,034.90","5,934.40",830.20M,1.66%
"Jul 01, 2020","5,934.40","5,897.90","5,953.90","5,892.80",723.29M,0.62%
"Jun 30, 2020","5,897.90","5,815.00","5,955.20","5,815.00",1.00B,1.43%
"Jun 29, 2020","5,815.00","5,904.10","5,904.10","5,773.20",699.34M,-1.51%
"Jun 26, 2020","5,904.10","5,817.70","5,913.60","5,817.70",901.34M,1.49%
"Jun 25, 2020","5,817.70","5,965.70","5,965.70","5,817.70",877.19M,-2.48%
"Jun 24, 2020","5,965.70","5,954.40","5,992.80","5,942.30",811.61M,0.19%
"Jun 23, 2020","5,954.40","5,944.50","5,999.20","5,882.80",903.57M,0.17%
"Jun 22, 2020","5,944.50","5,942.60","5,972.60","5,881.10",761.32M,0.03%
"Jun 19, 2020","5,942.60","5,936.50","6,006.30","5,929.90",1.96B,0.10%
"Jun 18, 2020","5,936.50","5,991.80","5,991.80","5,888.70",1.12B,-0.92%
"Jun 17, 2020","5,991.80","5,942.30","5,991.80","5,931.50",916.88M,0.83%
"Jun 16, 2020","5,942.30","5,719.80","5,975.80","5,719.80",1.08B,3.89%
"Jun 15, 2020","5,719.80","5,847.80","5,857.70","5,719.80",1.04B,-2.19%
"Jun 12, 2020","5,847.80","5,960.60","5,960.60","5,756.50",1.32B,-1.89%
"Jun 11, 2020","5,960.60","6,148.40","6,148.40","5,949.60",1.15B,-3.05%
"Jun 10, 2020","6,148.40","6,144.90","6,182.30","6,089.70",1.02B,0.06%
"Jun 09, 2020","6,144.90","5,998.70","6,198.60","5,998.70",1.40B,2.44%
